Website,Order ID,Order Date,Purchase Order Number,Currency,Unit Price,Unit Price Tax,Shipping Charge,Total Discounts,Total Owed,Shipment Item Subtotal,Shipment Item Subtotal Tax,ASIN,Product Condition,Quantity,Payment Instrument Type,Order Status,Shipment Status,Ship Date,Shipping Option,Shipping Address,Billing Address,Carrier Name & Tracking Number,Product Name,Gift Message,Gift Sender Name,Gift Recipient Contact Details,Item Serial Number
Amazon.com,187-3177551-5743257,2025-04-27T19:43:00Z,Not Applicable,USD,449.99,31.5,0.0,0,481.49,449.99,31.5,B01F8XCDHI,New,1,Visa,Shipped,Delivered,2025-04-30T19:43:00.000000Z,expedited,123 Maple St  Springfield  IL 62704,123 Maple St  Springfield  IL 62704,UPS 1ZA1F7QW8OYDLY4S,KitchenAid Artisan Stand Mixer,Not Available,Not Available,Not Available,Not Available
Amazon.com,793-1637772-2760729,2025-02-19T17:44:00Z,Not Applicable,USD,35.0,2.45,0.0,0,37.45,35.0,2.45,B01L9WSTBI,New,1,MasterCard,Shipped,Delivered,2025-02-22T17:44:00.000000Z,expedited,123 Maple St  Springfield  IL 62704,123 Maple St  Springfield  IL 62704,UPS 1ZLQJ3ME2RA0KKOX,YETI Rambler 20oz,Not Available,Not Available,Not Available,Not Available
Amazon.com,546-1085526-8138680,2025-02-15T11:52:00Z,Not Applicable,USD,89.0,6.23,0.0,0,95.23,89.0,6.23,B08PQ2KWHS,New,1,Visa,Shipped,Delivered,2025-02-18T11:52:00.000000Z,standard,123 Maple St  Springfield  IL 62704,123 Maple St  Springfield  IL 62704,UPS 1Z3S8HWYVWWO4JTB,Instant Pot Duo 7-in-1 6Qt,Not Available,Not Available,Not Available,Not Available
Amazon.com,634-8316643-1367014,2025-03-01T06:27:00Z,Not Applicable,USD,39.94,2.8,0.0,0,42.74,39.94,2.8,B003UKM9CO,New,1,Amex,Shipped,Delivered,2025-03-04T06:27:00.000000Z,standard,123 Maple St  Springfield  IL 62704,123 Maple St  Springfield  IL 62704,UPS 1ZD3I66U3W4VQQIK,Oral-B Pro 1000 Toothbrush,Not Available,Not Available,Not Available,Not Available
Amazon.com,276-2997632-8345788,2025-03-24T10:21:00Z,Not Applicable,USD,24.98,1.75,0.0,0,26.73,24.98,1.75,B08KGHBLM9,New,1,MasterCard,Shipped,Delivered,2025-03-27T10:21:00.000000Z,standard,123 Maple St  Springfield  IL 62704,123 Maple St  Springfield  IL 62704,UPS 1ZBAZPUNC4QME4RJ,Philips Hue White 2-Bulb Pack,Not Available,Not Available,Not Available,Not Available
Amazon.com,681-8336840-7459236,2025-04-13T15:09:00Z,Not Applicable,USD,14.95,1.05,0.0,0,16.0,14.95,1.05,B089223X6L,New,1,Visa,Shipped,Delivered,2025-04-16T15:09:00.000000Z,standard,123 Maple St  Springfield  IL 62704,123 Maple St  Springfield  IL 62704,UPS 1ZJAJ9X0BCEJ81D8,Nalgene 1L Water Bottle,Not Available,Not Available,Not Available,Not Available
Amazon.com,184-9317729-3009650,2025-03-30T12:33:00Z,Not Applicable,USD,24.98,1.75,0.0,0,26.73,24.98,1.75,B08KGHBLM9,New,1,Amex,Shipped,Delivered,2025-04-02T12:33:00.000000Z,expedited,123 Maple St  Springfield  IL 62704,123 Maple St  Springfield  IL 62704,UPS 1ZG6AKKUOU4CSH6T,Philips Hue White 2-Bulb Pack,Not Available,Not Available,Not Available,Not Available
Amazon.com,231-4256367-8926491,2025-03-07T22:03:00Z,Not Applicable,USD,129.99,9.1,0.0,0,139.09,129.99,9.1,B08HRPDYTP,New,1,Visa,Shipped,Delivered,2025-03-10T22:03:00.000000Z,next-1dc,123 Maple St  Springfield  IL 62704,123 Maple St  Springfield  IL 62704,UPS 1ZREGQWS28IWH1GS,Google Nest Thermostat,Not Available,Not Available,Not Available,Not Available
Amazon.com,211-8957725-4032715,2025-02-27T04:13:00Z,Not Applicable,USD,12.79,0.9,0.0,0,13.69,12.79,0.9,B0713STKWG,New,1,MasterCard,Shipped,Delivered,2025-03-02T04:13:00.000000Z,standard,123 Maple St  Springfield  IL 62704,123 Maple St  Springfield  IL 62704,UPS 1ZFALJ4MO4DYFZ1V,The Great Alone: A Novel,Not Available,Not Available,Not Available,Not Available
Amazon.com,267-0548275-4845672,2025-02-09T03:27:00Z,Not Applicable,USD,59.99,4.2,0.0,0,64.19,59.99,4.2,B0BSB5MY44,New,1,MasterCard,Shipped,Delivered,2025-02-12T03:27:00.000000Z,standard,123 Maple St  Springfield  IL 62704,123 Maple St  Springfield  IL 62704,UPS 1ZJ5FU09C4GW9CJN,Sony WH-CH520 Wireless Headphones,Not Available,Not Available,Not Available,Not Available
